"city_name" "date" "temperature" "temp_type" "site_name"
"78" "Perth" 2008-03-18 31.7 "max" "PERTH AIRPORT"
"79" "Perth" 2008-03-19 33.1 "max" "PERTH AIRPORT"
"80" "Perth" 2008-03-20 31.2 "max" "PERTH AIRPORT"
"81" "Perth" 2008-03-21 33.6 "max" "PERTH AIRPORT"
"82" "Perth" 2008-03-22 32 "max" "PERTH AIRPORT"
"83" "Perth" 2008-03-23 26.2 "max" "PERTH AIRPORT"
"84" "Perth" 2008-03-24 26.3 "max" "PERTH AIRPORT"
"85" "Perth" 2008-03-25 27.5 "max" "PERTH AIRPORT"
"86" "Perth" 2008-03-26 30.2 "max" "PERTH AIRPORT"
"87" "Perth" 2008-03-27 32.6 "max" "PERTH AIRPORT"
"88" "Perth" 2008-03-28 32.7 "max" "PERTH AIRPORT"
"89" "Perth" 2008-03-29 29.9 "max" "PERTH AIRPORT"
"90" "Perth" 2008-03-30 29.3 "max" "PERTH AIRPORT"
"91" "Perth" 2008-03-31 19.8 "max" "PERTH AIRPORT"
"92" "Perth" 2008-04-01 24.2 "max" "PERTH AIRPORT"
"93" "Perth" 2008-04-02 22.4 "max" "PERTH AIRPORT"
"94" "Perth" 2008-04-03 26.1 "max" "PERTH AIRPORT"
"95" "Perth" 2008-04-04 29.9 "max" "PERTH AIRPORT"
"96" "Perth" 2008-04-05 24.5 "max" "PERTH AIRPORT"
"97" "Perth" 2008-04-06 26.2 "max" "PERTH AIRPORT"
"98" "Perth" 2008-04-07 25.3 "max" "PERTH AIRPORT"
"99" "Perth" 2008-04-08 25.4 "max" "PERTH AIRPORT"
"100" "Perth" 2008-04-09 26.2 "max" "PERTH AIRPORT"
"101" "Perth" 2008-04-10 22.9 "max" "PERTH AIRPORT"
"102" "Perth" 2008-04-11 24.9 "max" "PERTH AIRPORT"
"103" "Perth" 2008-04-12 27.8 "max" "PERTH AIRPORT"
"104" "Perth" 2008-04-13 30 "max" "PERTH AIRPORT"
"105" "Perth" 2008-04-14 32.7 "max" "PERTH AIRPORT"
"106" "Perth" 2008-04-15 29.7 "max" "PERTH AIRPORT"
"107" "Perth" 2008-04-16 28.8 "max" "PERTH AIRPORT"
"108" "Perth" 2008-04-17 19.4 "max" "PERTH AIRPORT"
"109" "Perth" 2008-04-18 22.5 "max" "PERTH AIRPORT"
"110" "Perth" 2008-04-19 19 "max" "PERTH AIRPORT"
"111" "Perth" 2008-04-20 20.5 "max" "PERTH AIRPORT"
"112" "Perth" 2008-04-21 18.4 "max" "PERTH AIRPORT"
"113" "Perth" 2008-04-22 22.9 "max" "PERTH AIRPORT"
"114" "Perth" 2008-04-23 22 "max" "PERTH AIRPORT"
"115" "Perth" 2008-04-24 22.5 "max" "PERTH AIRPORT"
"116" "Perth" 2008-04-25 24.1 "max" "PERTH AIRPORT"
"117" "Perth" 2008-04-26 22.5 "max" "PERTH AIRPORT"
"118" "Perth" 2008-04-27 20.4 "max" "PERTH AIRPORT"
"119" "Perth" 2008-04-28 24.6 "max" "PERTH AIRPORT"
"120" "Perth" 2008-04-29 21.9 "max" "PERTH AIRPORT"
"121" "Perth" 2008-04-30 22 "max" "PERTH AIRPORT"
"122" "Perth" 2008-05-01 22.2 "max" "PERTH AIRPORT"
"123" "Perth" 2008-05-02 24.7 "max" "PERTH AIRPORT"
"124" "Perth" 2008-05-03 24.2 "max" "PERTH AIRPORT"
"125" "Perth" 2008-05-04 23 "max" "PERTH AIRPORT"
"126" "Perth" 2008-05-05 22.7 "max" "PERTH AIRPORT"
"127" "Perth" 2008-05-06 26.5 "max" "PERTH AIRPORT"
"128" "Perth" 2008-05-07 25.8 "max" "PERTH AIRPORT"
"129" "Perth" 2008-05-08 24.2 "max" "PERTH AIRPORT"
"130" "Perth" 2008-05-09 27.4 "max" "PERTH AIRPORT"
"131" "Perth" 2008-05-10 23.2 "max" "PERTH AIRPORT"
"132" "Perth" 2008-05-11 23.4 "max" "PERTH AIRPORT"
"133" "Perth" 2008-05-12 24.7 "max" "PERTH AIRPORT"
"134" "Perth" 2008-05-13 20.6 "max" "PERTH AIRPORT"
"135" "Perth" 2008-05-14 18.2 "max" "PERTH AIRPORT"
"136" "Perth" 2008-05-15 20.4 "max" "PERTH AIRPORT"
"137" "Perth" 2008-05-16 18.4 "max" "PERTH AIRPORT"
"138" "Perth" 2008-05-17 20.3 "max" "PERTH AIRPORT"
"139" "Perth" 2008-05-18 21.6 "max" "PERTH AIRPORT"
"140" "Perth" 2008-05-19 22.1 "max" "PERTH AIRPORT"
"141" "Perth" 2008-05-20 23 "max" "PERTH AIRPORT"
"142" "Perth" 2008-05-21 23.6 "max" "PERTH AIRPORT"
"143" "Perth" 2008-05-22 19.2 "max" "PERTH AIRPORT"
"144" "Perth" 2008-05-23 20 "max" "PERTH AIRPORT"
"145" "Perth" 2008-05-24 21.2 "max" "PERTH AIRPORT"
"146" "Perth" 2008-05-25 21.3 "max" "PERTH AIRPORT"
"147" "Perth" 2008-05-26 24.8 "max" "PERTH AIRPORT"
"148" "Perth" 2008-05-27 26.9 "max" "PERTH AIRPORT"
"149" "Perth" 2008-05-28 23.6 "max" "PERTH AIRPORT"
"150" "Perth" 2008-05-29 20.3 "max" "PERTH AIRPORT"
"151" "Perth" 2008-05-30 24 "max" "PERTH AIRPORT"
"152" "Perth" 2008-05-31 22.7 "max" "PERTH AIRPORT"
"153" "Perth" 2008-06-01 22.5 "max" "PERTH AIRPORT"
"154" "Perth" 2008-06-02 19.4 "max" "PERTH AIRPORT"
"155" "Perth" 2008-06-03 22.7 "max" "PERTH AIRPORT"
"156" "Perth" 2008-06-04 20.2 "max" "PERTH AIRPORT"
"157" "Perth" 2008-06-05 20.8 "max" "PERTH AIRPORT"
"158" "Perth" 2008-06-06 21.2 "max" "PERTH AIRPORT"
"159" "Perth" 2008-06-07 21.1 "max" "PERTH AIRPORT"
"160" "Perth" 2008-06-08 22.2 "max" "PERTH AIRPORT"
"161" "Perth" 2008-06-09 17.4 "max" "PERTH AIRPORT"
"162" "Perth" 2008-06-10 19.1 "max" "PERTH AIRPORT"
"163" "Perth" 2008-06-11 18.3 "max" "PERTH AIRPORT"
"164" "Perth" 2008-06-12 19.8 "max" "PERTH AIRPORT"
"165" "Perth" 2008-06-13 20.6 "max" "PERTH AIRPORT"
"166" "Perth" 2008-06-14 22.8 "max" "PERTH AIRPORT"
"167" "Perth" 2008-06-15 17.5 "max" "PERTH AIRPORT"
"168" "Perth" 2008-06-16 16.1 "max" "PERTH AIRPORT"
"169" "Perth" 2008-06-17 16.7 "max" "PERTH AIRPORT"
"170" "Perth" 2008-06-18 18.8 "max" "PERTH AIRPORT"
"171" "Perth" 2008-06-19 20 "max" "PERTH AIRPORT"
"172" "Perth" 2008-06-20 19.7 "max" "PERTH AIRPORT"
"173" "Perth" 2008-06-21 20.3 "max" "PERTH AIRPORT"
"174" "Perth" 2008-06-22 21.5 "max" "PERTH AIRPORT"
"175" "Perth" 2008-06-23 22.2 "max" "PERTH AIRPORT"
"176" "Perth" 2008-06-24 23 "max" "PERTH AIRPORT"
"177" "Perth" 2008-06-25 19.2 "max" "PERTH AIRPORT"
"178" "Perth" 2008-06-26 14.4 "max" "PERTH AIRPORT"
"179" "Perth" 2008-06-27 21.8 "max" "PERTH AIRPORT"
"180" "Perth" 2008-06-28 17.1 "max" "PERTH AIRPORT"
