"max_temperature" "city_name" "mean"
"158" 13.7 "Melbourne" 4.54905660377359
"159" 13.7 "Perth" 19.5666666666667
"160" 13.7 "Sydney" 11.8666666666667
"161" 13.8 "Brisbane" 4.2
"162" 13.8 "Canberra" 2.58571428571429
"163" 13.8 "Melbourne" 4.11095890410959
"164" 13.8 "Sydney" 13.975
"165" 13.9 "Brisbane" 0
"166" 13.9 "Canberra" 1.45238095238095
"167" 13.9 "Melbourne" 4.96818181818182
"168" 13.9 "Perth" 15.74
"169" 13.9 "Sydney" 38.5333333333333
"170" 14 "Canberra" 1.32
"171" 14 "Melbourne" 3.75747126436782
"172" 14 "Perth" 8.66666666666667
"173" 14 "Sydney" 2.72
"174" 14.1 "Canberra" 1.98823529411765
"175" 14.1 "Melbourne" 5.02207792207792
"176" 14.1 "Perth" 11.25
"177" 14.1 "Sydney" 14.4
"178" 14.2 "Brisbane" 0.8
"179" 14.2 "Canberra" 6.1
"180" 14.2 "Melbourne" 3.92763157894737
"181" 14.2 "Perth" 16.6625
"182" 14.2 "Sydney" 7.61428571428571
"183" 14.3 "Canberra" 3.91111111111111
"184" 14.3 "Melbourne" 5.61489361702128
"185" 14.3 "Perth" 9.5
"186" 14.3 "Sydney" 19.64
"187" 14.4 "Canberra" 1.16842105263158
"188" 14.4 "Melbourne" 4.31481481481481
"189" 14.4 "Perth" 8.52222222222222
"190" 14.4 "Sydney" 10.17
"191" 14.5 "Canberra" 1.85
"192" 14.5 "Melbourne" 5.49054054054054
"193" 14.5 "Perth" 9.21666666666667
"194" 14.5 "Sydney" 21.325
"195" 14.6 "Canberra" 10.6428571428571
"196" 14.6 "Melbourne" 4.33943661971831
"197" 14.6 "Perth" 12.13
"198" 14.6 "Sydney" 13.36
"199" 14.7 "Brisbane" 14.9
"200" 14.7 "Canberra" 1.06666666666667
"201" 14.7 "Melbourne" 4.64651162790698
"202" 14.7 "Perth" 20
"203" 14.7 "Sydney" 8.94
"204" 14.8 "Canberra" 2.83076923076923
"205" 14.8 "Melbourne" 3.1984375
"206" 14.8 "Perth" 17.3733333333333
"207" 14.8 "Sydney" 10.6424242424242
"208" 14.9 "Canberra" 2.99130434782609
"209" 14.9 "Melbourne" 5.39347826086957
"210" 14.9 "Perth" 10.2631578947368
"211" 14.9 "Sydney" 22.2166666666667
"212" 15 "Canberra" 2.5
"213" 15 "Melbourne" 3.1231884057971
"214" 15 "Perth" 11.95
"215" 15 "Sydney" 7.14
"216" 15.1 "Brisbane" 16.8
"217" 15.1 "Canberra" 0.85
"218" 15.1 "Melbourne" 3.616
"219" 15.1 "Perth" 10.3153846153846
"220" 15.1 "Sydney" 8.395
"221" 15.2 "Brisbane" 7
"222" 15.2 "Canberra" 2.09090909090909
"223" 15.2 "Melbourne" 4.5
"224" 15.2 "Perth" 10.9583333333333
"225" 15.2 "Sydney" 9.8625
"226" 15.3 "Brisbane" 6.1
"227" 15.3 "Canberra" 1.1875
"228" 15.3 "Melbourne" 5.03571428571429
"229" 15.3 "Perth" 14.0947368421053
"230" 15.3 "Sydney" 6.1741935483871
