"min_temperature" "city_name" "mean"
"160" 2.9 "Perth" 3.1
"161" 3 "Brisbane" 0
"162" 3 "Canberra" 1.4
"163" 3 "Melbourne" 1.34
"164" 3 "Perth" 6.46666666666667
"165" 3.1 "Brisbane" 0.0666666666666667
"166" 3.1 "Canberra" 2
"167" 3.1 "Melbourne" 2.4
"168" 3.1 "Perth" 4.66666666666667
"169" 3.2 "Brisbane" 0
"170" 3.2 "Canberra" 1.66666666666667
"171" 3.2 "Melbourne" 0.575
"172" 3.2 "Perth" 4.67142857142857
"173" 3.3 "Brisbane" 0
"174" 3.3 "Canberra" 1.11428571428571
"175" 3.3 "Melbourne" 3.4
"176" 3.3 "Perth" 4.27142857142857
"177" 3.4 "Brisbane" 0
"178" 3.4 "Canberra" 1.075
"179" 3.4 "Melbourne" 1.26
"180" 3.4 "Perth" 3.55714285714286
"181" 3.5 "Brisbane" 0
"182" 3.5 "Canberra" 0.355555555555556
"183" 3.5 "Melbourne" 1.26666666666667
"184" 3.5 "Perth" 3.8625
"185" 3.6 "Brisbane" 0
"186" 3.6 "Canberra" 2.81111111111111
"187" 3.6 "Melbourne" 2.35
"188" 3.6 "Perth" 10.8333333333333
"189" 3.7 "Brisbane" 0
"190" 3.7 "Canberra" 1.95
"191" 3.7 "Melbourne" 9.16666666666667
"192" 3.7 "Perth" 1.3
"193" 3.8 "Brisbane" 0
"194" 3.8 "Canberra" 0.8
"195" 3.8 "Melbourne" 4.26666666666667
"196" 3.8 "Perth" 4.65555555555556
"197" 3.9 "Brisbane" 0
"198" 3.9 "Canberra" 0.866666666666667
"199" 3.9 "Melbourne" 3.66666666666667
"200" 3.9 "Perth" 6.27142857142857
"201" 4 "Brisbane" 0
"202" 4 "Canberra" 1.4
"203" 4 "Melbourne" 2.7
"204" 4 "Perth" 4.26
"205" 4.1 "Brisbane" 0
"206" 4.1 "Canberra" 2.42222222222222
"207" 4.1 "Melbourne" 5.95833333333333
"208" 4.1 "Perth" 2.6
"209" 4.2 "Brisbane" 0
"210" 4.2 "Canberra" 2.09333333333333
"211" 4.2 "Melbourne" 1.275
"212" 4.2 "Perth" 6.36428571428571
"213" 4.3 "Brisbane" 0.166666666666667
"214" 4.3 "Canberra" 1.54545454545455
"215" 4.3 "Melbourne" 2.75
"216" 4.3 "Perth" 4.95714285714286
"217" 4.3 "Sydney" 0
"218" 4.4 "Brisbane" 2.44
"219" 4.4 "Canberra" 2.35
"220" 4.4 "Melbourne" 2.18823529411765
"221" 4.4 "Perth" 5.50714285714286
"222" 4.4 "Sydney" 1.2
"223" 4.5 "Brisbane" 0.625
"224" 4.5 "Canberra" 0.364705882352941
"225" 4.5 "Melbourne" 2.64285714285714
"226" 4.5 "Perth" 4.53333333333333
"227" 4.6 "Brisbane" 3.625
"228" 4.6 "Canberra" 1.8
"229" 4.6 "Melbourne" 0.875
"230" 4.6 "Perth" 3.50714285714286
"231" 4.6 "Sydney" 0
"232" 4.7 "Brisbane" 0.04
"233" 4.7 "Canberra" 3.94285714285714
"234" 4.7 "Melbourne" 3.52307692307692
"235" 4.7 "Perth" 8.34285714285714
"236" 4.7 "Sydney" 0
"237" 4.8 "Brisbane" 0
"238" 4.8 "Canberra" 1.22
"239" 4.8 "Melbourne" 5.28823529411765
"240" 4.8 "Perth" 2.325
"241" 4.8 "Sydney" 0
"242" 4.9 "Brisbane" 0
"243" 4.9 "Canberra" 5.32631578947368
"244" 4.9 "Melbourne" 3.3
"245" 4.9 "Perth" 4.88235294117647
"246" 4.9 "Sydney" 0.3
"247" 5 "Brisbane" 1.475
