"month" "mean"
"1" "01" 2.70212834569494
"2" "02" 3.09168302694985
"3" "03" 2.70229470578594
"4" "04" 2.52127375791931
"5" "05" 2.61694417238002
"6" "06" 3.20145826349313
"7" "07" 2.46563003544957
"8" "08" 2.28165967064902
"9" "09" 1.86734351401242
"10" "10" 2.19059773828756
"11" "11" 2.56084858569052
"12" "12" 2.37789132197891
